annotation_id,assistant_primary_label,assistant_secondary_label,assistant_confidence_1to3,assistant_ambiguous,assistant_notes
AUDIT0301,caution_and_advice,infrastructure_and_utility_damage,3,Yes,Cat-5 impact warning describes catastrophic damage/outages.
AUDIT0302,not_humanitarian,,3,No,Unrelated Twitter-chat flood joke.
AUDIT0303,infrastructure_and_utility_damage,,3,No,Official surveys earthquake damage.
AUDIT0304,other_relevant_information,infrastructure_and_utility_damage,2,No,Analysis of changing flood-frequency designations.
AUDIT0305,other_relevant_information,injured_or_dead_people,2,Yes,Historical animal losses used to forecast current Florence impact.
AUDIT0306,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Donation campaign to provide food.
AUDIT0307,requests_or_urgent_needs,,2,No,"Explicitly marked urgent flood-relief item, though content is sparse."
AUDIT0308,other_relevant_information,caution_and_advice,3,No,Preparedness monitoring for nursing-home generators.
AUDIT0309,other_relevant_information,not_humanitarian,2,Yes,Normative statement about disaster aid politicization.
AUDIT0310,sympathy_and_support,,3,No,Explicit request for love/support during quake/tsunami.
AUDIT0311,other_relevant_information,rescue_volunteering_or_donation_effort,3,No,State-of-emergency support action for Puerto Rico.
AUDIT0312,other_relevant_information,sympathy_and_support,2,Yes,Vague wildfire update with sadness.
AUDIT0313,rescue_volunteering_or_donation_effort,,3,No,Fire crews responding to wildfire.
AUDIT0314,other_relevant_information,,3,No,Storm-status downgrade update.
AUDIT0315,requests_or_urgent_needs,not_humanitarian,2,Yes,Criticizes lack of military help to Puerto Rico.
AUDIT0316,other_relevant_information,displaced_people_and_evacuations,2,No,Policy discussion about evacuation decisions.
AUDIT0317,infrastructure_and_utility_damage,,3,No,Family home destroyed by wildfire.
AUDIT0318,injured_or_dead_people,,3,No,Explicitly foregrounds deaths.
AUDIT0319,infrastructure_and_utility_damage,other_relevant_information,3,Yes,Near-total town destruction with recovery-policy commentary.
AUDIT0320,infrastructure_and_utility_damage,other_relevant_information,2,No,Catastrophic storm conditions imply severe impact.
AUDIT0321,other_relevant_information,infrastructure_and_utility_damage,2,Yes,Mixed news roundup includes Irma flooding.
AUDIT0322,displaced_people_and_evacuations,caution_and_advice,3,No,New mandatory evacuations.
AUDIT0323,rescue_volunteering_or_donation_effort,sympathy_and_support,3,No,Military response praised/blessed.
AUDIT0324,rescue_volunteering_or_donation_effort,,3,No,Harvey rescue story.
AUDIT0325,caution_and_advice,,3,No,Explicit no-tsunami-threat safety update.
AUDIT0326,infrastructure_and_utility_damage,requests_or_urgent_needs,3,Yes,People lost homes and household possessions.
AUDIT0327,displaced_people_and_evacuations,rescue_volunteering_or_donation_effort,3,No,"First Nation shelters 5,000 evacuees."
AUDIT0328,other_relevant_information,,3,No,Compares storm rainfall volume.
AUDIT0329,caution_and_advice,missing_or_found_people,3,Yes,Warns of mudslides/flash floods while victim search continues.
AUDIT0330,other_relevant_information,,2,No,Article pointer about Kerala floods.
AUDIT0331,infrastructure_and_utility_damage,other_relevant_information,2,Yes,Water-system contamination and agricultural impacts.
AUDIT0332,rescue_volunteering_or_donation_effort,missing_or_found_people,2,Yes,Aid workers expand search for cyclone survivors.
AUDIT0333,requests_or_urgent_needs,,3,No,Direct appeal for platform/help for affected areas.
AUDIT0334,rescue_volunteering_or_donation_effort,displaced_people_and_evacuations,3,No,Salvation Army relief at evacuation centers.
AUDIT0335,infrastructure_and_utility_damage,,3,No,School completely destroyed.
AUDIT0336,injured_or_dead_people,,3,No,Casualties reported after earthquake.
AUDIT0337,caution_and_advice,,2,Yes,Asks whether tap water is safe after quake.
AUDIT0338,other_relevant_information,infrastructure_and_utility_damage,2,No,Question about sea-level-rise effect on damage.
AUDIT0339,other_relevant_information,displaced_people_and_evacuations,2,No,Evacuation-psychology article/topic.
AUDIT0340,sympathy_and_support,other_relevant_information,2,No,Concern for relatives while hurricane hits.
AUDIT0341,not_humanitarian,,3,No,Consumer-service complaint unrelated to humanitarian response.
AUDIT0342,other_relevant_information,rescue_volunteering_or_donation_effort,2,Yes,Debate over allocation of foreign flood aid.
AUDIT0343,missing_or_found_people,injured_or_dead_people,3,Yes,"Over 1,000 missing and 71 killed."
AUDIT0344,injured_or_dead_people,other_relevant_information,3,Yes,Cyclone death toll embedded in broader climate-event summary.
AUDIT0345,rescue_volunteering_or_donation_effort,sympathy_and_support,3,No,Large donation to help wildfire victims rebuild.
AUDIT0346,injured_or_dead_people,infrastructure_and_utility_damage,3,Yes,Rising death toll and major destruction.
AUDIT0347,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,Yes,Asks for future help in affected states.
AUDIT0348,injured_or_dead_people,infrastructure_and_utility_damage,3,No,Death toll explicit with worsening flood threat.
AUDIT0349,rescue_volunteering_or_donation_effort,,3,No,Food/materials provided to relief camp.
AUDIT0350,injured_or_dead_people,infrastructure_and_utility_damage,3,Yes,Deaths and massive destruction.
AUDIT0351,infrastructure_and_utility_damage,injured_or_dead_people,3,Yes,"Cutoff, power/phone outages and confirmed deaths."
AUDIT0352,not_humanitarian,injured_or_dead_people,2,Yes,"Historical tsunami-death recollection, not event-specific aid info."
AUDIT0353,injured_or_dead_people,infrastructure_and_utility_damage,3,No,Wildfire deaths and possibility of higher toll.
AUDIT0354,infrastructure_and_utility_damage,other_relevant_information,3,No,Scope and social impact of homes lost.
AUDIT0355,rescue_volunteering_or_donation_effort,caution_and_advice,3,No,State resources mobilized for hurricane preparedness.
AUDIT0356,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,Yes,Medical evacuations plus donation appeal.
AUDIT0357,rescue_volunteering_or_donation_effort,,3,No,Ongoing Maria relief efforts.
AUDIT0358,caution_and_advice,displaced_people_and_evacuations,3,No,Explicit warning not to disobey evacuation orders.
AUDIT0359,sympathy_and_support,rescue_volunteering_or_donation_effort,2,Yes,Resilience/rebuilding solidarity message.
AUDIT0360,rescue_volunteering_or_donation_effort,,3,No,Water/fund donation drive.
AUDIT0361,requests_or_urgent_needs,other_relevant_information,2,Yes,Calls for rapid compensation/rebuilding support.
AUDIT0362,sympathy_and_support,caution_and_advice,3,No,Asks for prayers while facing life-threatening storm.
AUDIT0363,other_relevant_information,rescue_volunteering_or_donation_effort,2,No,Policy on accepting international wildfire assistance.
AUDIT0364,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Donation appeal for emerging humanitarian needs.
AUDIT0365,injured_or_dead_people,caution_and_advice,3,Yes,Two deaths and tsunami alert.
AUDIT0366,other_relevant_information,,2,No,News about hurricane reconnaissance pilot.
AUDIT0367,infrastructure_and_utility_damage,,3,No,Storm remnants causing roof/water damage.
AUDIT0368,infrastructure_and_utility_damage,other_relevant_information,2,No,Story about damage to hometown.
AUDIT0369,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Union directly helping members prepare/respond.
AUDIT0370,rescue_volunteering_or_donation_effort,,3,No,Collection drive for hurricane victims.
AUDIT0371,not_humanitarian,,3,No,Unrelated school/open-house fundraising complaint.
AUDIT0372,requests_or_urgent_needs,,3,No,"Explicit need for food, shelter and necessities."
AUDIT0373,sympathy_and_support,,3,No,Thoughts for wildfire-affected people.
AUDIT0374,other_relevant_information,,3,No,Scientific analysis of earthquake sequence.
AUDIT0375,sympathy_and_support,other_relevant_information,2,Yes,Emotional concern for abandoned livestock.
AUDIT0376,other_relevant_information,rescue_volunteering_or_donation_effort,2,Yes,Red Cross volunteer-related post with little detail.
AUDIT0377,missing_or_found_people,requests_or_urgent_needs,3,Yes,Thousands missing plus destitution/basic-service loss.
AUDIT0378,rescue_volunteering_or_donation_effort,,3,No,Red Cross donation page for quake victims.
AUDIT0379,not_humanitarian,,3,No,Political joke about nuking hurricane/property.
AUDIT0380,injured_or_dead_people,missing_or_found_people,3,Yes,"Deaths, missing and mass evacuation all reported."
AUDIT0381,displaced_people_and_evacuations,caution_and_advice,3,No,Cannot return home due tsunami warning.
AUDIT0382,requests_or_urgent_needs,other_relevant_information,3,No,"Stores lack water, batteries and canned food."
AUDIT0383,infrastructure_and_utility_damage,sympathy_and_support,3,No,"Landslides erased about 1,800 homes."
AUDIT0384,not_humanitarian,sympathy_and_support,3,No,Political insult dominates.
AUDIT0385,rescue_volunteering_or_donation_effort,,3,No,Strangers assist a wildfire victim.
AUDIT0386,other_relevant_information,,3,No,Latest hurricane strength/path update.
AUDIT0387,infrastructure_and_utility_damage,not_humanitarian,2,Yes,Power loss/damage context framed as scolding.
AUDIT0388,rescue_volunteering_or_donation_effort,,3,No,Government sends rice to flood-hit Kerala.
AUDIT0389,caution_and_advice,requests_or_urgent_needs,2,Yes,Evacuation uncertainty and water availability during preparation.
AUDIT0390,rescue_volunteering_or_donation_effort,,3,No,How-to-help victims post.
AUDIT0391,other_relevant_information,not_humanitarian,2,Yes,Forest-management analogy plus vague potential need.
AUDIT0392,other_relevant_information,,3,No,Claims/analysis about causes of Kerala floods.
AUDIT0393,requests_or_urgent_needs,not_humanitarian,3,Yes,Demands delivery of food to starving people amid partisan rhetoric.
AUDIT0394,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Appeal to help animals after quake.
AUDIT0395,infrastructure_and_utility_damage,other_relevant_information,3,No,Homes still damaged from prior hurricane and exposed again.
AUDIT0396,injured_or_dead_people,not_humanitarian,3,No,"References 3,000 hurricane deaths in political argument."
AUDIT0397,rescue_volunteering_or_donation_effort,,3,No,Pledge to donate to hurricane relief.
AUDIT0398,not_humanitarian,other_relevant_information,2,Yes,Political accusation about obstructing aid.
AUDIT0399,other_relevant_information,,3,No,Aftershock activity update.
AUDIT0400,rescue_volunteering_or_donation_effort,,3,No,Helping flood victims.
AUDIT0401,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,General public call to help Kerala.
AUDIT0402,rescue_volunteering_or_donation_effort,,3,No,Financial firm extends help to wildfire victims.
AUDIT0403,other_relevant_information,displaced_people_and_evacuations,2,Yes,Discussion of charter schools as hurricane shelters.
AUDIT0404,sympathy_and_support,rescue_volunteering_or_donation_effort,3,No,Respect/support for firefighters.
AUDIT0405,not_humanitarian,injured_or_dead_people,3,No,Earthquake deaths unrelated to the Irma event.
AUDIT0406,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Critical need for volunteers.
AUDIT0407,not_humanitarian,injured_or_dead_people,2,Yes,Political analogy dominates despite disaster-loss language.
AUDIT0408,sympathy_and_support,,3,No,Prayers and solidarity for fire-affected people.
AUDIT0409,caution_and_advice,other_relevant_information,3,No,No-damage update with stay-safe guidance.
AUDIT0410,displaced_people_and_evacuations,caution_and_advice,3,No,Prepared for possible repeat evacuation.
AUDIT0411,caution_and_advice,other_relevant_information,2,No,Preparedness supplies and safety framing.
AUDIT0412,other_relevant_information,infrastructure_and_utility_damage,3,No,Satellite imagery showing flood extent.
AUDIT0413,infrastructure_and_utility_damage,,3,No,Island-wide outage and massive damage.
AUDIT0414,displaced_people_and_evacuations,rescue_volunteering_or_donation_effort,3,No,Shelter consolidation for evacuees.
AUDIT0415,caution_and_advice,,3,No,Preparedness packing for hurricane coverage.
AUDIT0416,sympathy_and_support,,3,No,Thoughts/prayers after earthquake.
AUDIT0417,other_relevant_information,,3,No,State-of-emergency declaration.
AUDIT0418,not_humanitarian,,1,Yes,Context-poor political/government complaint.
AUDIT0419,rescue_volunteering_or_donation_effort,,3,No,Donation appeal for affected pilots/families.
AUDIT0420,requests_or_urgent_needs,other_relevant_information,3,No,Asks whether international help is needed.
AUDIT0421,sympathy_and_support,injured_or_dead_people,2,Yes,Compassion-focused statement about displaced/hurt/killed people.
AUDIT0422,other_relevant_information,rescue_volunteering_or_donation_effort,2,No,Emergency declaration to support devastated states.
AUDIT0423,displaced_people_and_evacuations,infrastructure_and_utility_damage,3,Yes,Dam burst triggers town evacuations.
AUDIT0424,other_relevant_information,displaced_people_and_evacuations,2,Yes,Mentions a notable evacuee without useful logistics.
AUDIT0425,caution_and_advice,other_relevant_information,3,No,Extreme wildfire-condition warning.
AUDIT0426,sympathy_and_support,displaced_people_and_evacuations,3,No,Praises compassion for victims/evacuees.
AUDIT0427,caution_and_advice,other_relevant_information,2,No,Adverse weather hitting quake-affected areas.
AUDIT0428,rescue_volunteering_or_donation_effort,,3,No,Pledges income share to Red Cross wildfire relief.
AUDIT0429,other_relevant_information,,3,No,Status update that fires are still raging.
AUDIT0430,rescue_volunteering_or_donation_effort,,3,No,Search-and-rescue effort update.
AUDIT0431,other_relevant_information,infrastructure_and_utility_damage,2,No,Premier tours wildfire damage.
AUDIT0432,not_humanitarian,other_relevant_information,3,No,Political comparison about presidential disaster visits.
AUDIT0433,other_relevant_information,requests_or_urgent_needs,2,Yes,Grocery restocking/supply-chain recovery after Harvey.
AUDIT0434,other_relevant_information,infrastructure_and_utility_damage,2,No,"Tsunami-after-earthquake event update, truncated."
AUDIT0435,rescue_volunteering_or_donation_effort,,3,No,FEMA relief staging base.
AUDIT0436,caution_and_advice,requests_or_urgent_needs,3,No,Instruction to include contact details so help can reach requester.
AUDIT0437,not_humanitarian,,3,No,Meme/personal reaction to aftershocks.
AUDIT0438,rescue_volunteering_or_donation_effort,,3,No,How-to-help Harvey victims.
AUDIT0439,caution_and_advice,infrastructure_and_utility_damage,3,No,Flooding-rain forecast/update.
AUDIT0440,infrastructure_and_utility_damage,sympathy_and_support,3,Yes,Destruction in Bahamas with hope storm changes course.
AUDIT0441,not_humanitarian,,3,No,Political insult about wildfire causation.
AUDIT0442,other_relevant_information,rescue_volunteering_or_donation_effort,2,Yes,Appeal to keep Puerto Rico crisis visible in media.
AUDIT0443,infrastructure_and_utility_damage,other_relevant_information,3,No,Forecast of major monetary damage.
AUDIT0444,rescue_volunteering_or_donation_effort,not_humanitarian,2,Yes,Political demand framed as funding victims.
AUDIT0445,caution_and_advice,displaced_people_and_evacuations,3,No,Traffic changes during evacuation.
AUDIT0446,caution_and_advice,,3,No,Urgent appeal to share emergency information.
AUDIT0447,not_humanitarian,,3,No,Unrelated Alaska earthquake.
AUDIT0448,sympathy_and_support,caution_and_advice,3,No,Thoughts/prayers with safety encouragement.
AUDIT0449,infrastructure_and_utility_damage,other_relevant_information,3,No,Thousands of buildings and extensive roads/bridges damaged.
AUDIT0450,rescue_volunteering_or_donation_effort,,2,No,People at a food bank in disaster-response context.
AUDIT0451,other_relevant_information,injured_or_dead_people,3,No,Official update reports no Dorian deaths on Abaco.
AUDIT0452,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Food-assistance benefits released early.
AUDIT0453,injured_or_dead_people,other_relevant_information,3,Yes,Thousands feared dead; survivor priority also noted.
AUDIT0454,requests_or_urgent_needs,,3,No,Explicit request to send coffee to affected area.
AUDIT0455,requests_or_urgent_needs,infrastructure_and_utility_damage,3,Yes,"Millions may lack clean water, food, refrigeration and medical supplies."
AUDIT0456,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,NGO response and immediate-needs update.
AUDIT0457,injured_or_dead_people,infrastructure_and_utility_damage,3,No,Police death and injuries reported; flights halted.
AUDIT0458,injured_or_dead_people,caution_and_advice,3,Yes,Death toll plus warning that conditions are worsening.
AUDIT0459,rescue_volunteering_or_donation_effort,,3,No,Large medical team and supplies for flood relief.
AUDIT0460,not_humanitarian,injured_or_dead_people,3,No,Historical Haiti event unrelated to Irma.
AUDIT0461,caution_and_advice,other_relevant_information,3,No,Maps disease-outbreak risk areas.
AUDIT0462,sympathy_and_support,,3,No,Prayers for multiple disaster-affected regions.
AUDIT0463,displaced_people_and_evacuations,rescue_volunteering_or_donation_effort,3,No,129k displaced in transit centers.
AUDIT0464,requests_or_urgent_needs,displaced_people_and_evacuations,3,No,Family stranded without food/water/electricity asks rescue.
AUDIT0465,injured_or_dead_people,not_humanitarian,2,Yes,Claims underreported deaths in political/colonial framing.
AUDIT0466,requests_or_urgent_needs,,3,No,Flood-affected family asks where to get help.
AUDIT0467,infrastructure_and_utility_damage,other_relevant_information,2,No,Tsunami/building-debris event update.
AUDIT0468,injured_or_dead_people,sympathy_and_support,3,Yes,Mother/baby killed and total death toll; prayer context.
AUDIT0469,infrastructure_and_utility_damage,other_relevant_information,2,Yes,Truncated report of wildfire destroying homes.
AUDIT0470,rescue_volunteering_or_donation_effort,,3,No,Asks where to volunteer after quake.
AUDIT0471,rescue_volunteering_or_donation_effort,displaced_people_and_evacuations,3,No,Food provided to displaced families.
AUDIT0472,sympathy_and_support,requests_or_urgent_needs,3,No,Prayer/plea for divine help.
AUDIT0473,injured_or_dead_people,other_relevant_information,3,No,More than 50 killed in cyclone-triggered floods.
AUDIT0474,displaced_people_and_evacuations,other_relevant_information,3,No,Tens of thousands expected to be displaced.
AUDIT0475,requests_or_urgent_needs,injured_or_dead_people,3,Yes,Dwindling supplies/medicine and inability to evacuate amid deaths.
AUDIT0476,other_relevant_information,infrastructure_and_utility_damage,2,No,Damage survey and recovery question.
AUDIT0477,rescue_volunteering_or_donation_effort,not_humanitarian,2,Yes,Animal rescues are central despite judgmental commentary.
AUDIT0478,other_relevant_information,requests_or_urgent_needs,2,No,Officials characterize Irma impact as humanitarian crisis.
AUDIT0479,other_relevant_information,caution_and_advice,3,No,Explains expected local intensity if track holds.
AUDIT0480,injured_or_dead_people,,3,No,Two deaths confirmed.
AUDIT0481,not_humanitarian,displaced_people_and_evacuations,3,No,Sectarian prejudice dominates shelter discussion.
AUDIT0482,injured_or_dead_people,rescue_volunteering_or_donation_effort,3,No,Five firefighters injured battling fire.
AUDIT0483,other_relevant_information,,3,No,Status/list of active California fires.
AUDIT0484,not_humanitarian,,3,No,Metaphorical/conspiracy use of hurricane name.
AUDIT0485,displaced_people_and_evacuations,other_relevant_information,3,No,Refugees flee wildfire; displacement is central.
AUDIT0486,rescue_volunteering_or_donation_effort,displaced_people_and_evacuations,3,No,Guardsmen providing aid to evacuees.
AUDIT0487,caution_and_advice,other_relevant_information,2,No,Air-quality risk/status information.
AUDIT0488,not_humanitarian,other_relevant_information,3,No,Opinion piece disputing climate attribution.
AUDIT0489,not_humanitarian,sympathy_and_support,3,No,Political insult dominates reference to deaths/prayers.
AUDIT0490,caution_and_advice,displaced_people_and_evacuations,3,No,Tsunami evacuation-zone guidance.
AUDIT0491,not_humanitarian,infrastructure_and_utility_damage,2,Yes,"Loss of symbolic tree, not humanitarian impact."
AUDIT0492,other_relevant_information,caution_and_advice,3,No,Weather-satellite forecasting contribution.
AUDIT0493,displaced_people_and_evacuations,other_relevant_information,3,No,Evacuations around record-strength hurricane.
AUDIT0494,requests_or_urgent_needs,not_humanitarian,3,Yes,"Fuel/supplies relief request denied, with political comparison."
AUDIT0495,other_relevant_information,,3,No,Fire growth/status update.
AUDIT0496,caution_and_advice,other_relevant_information,3,No,Threat forecast for rain/wind/coastal flooding.
AUDIT0497,not_humanitarian,infrastructure_and_utility_damage,3,No,Political hypothetical about property damage/insurance.
AUDIT0498,missing_or_found_people,rescue_volunteering_or_donation_effort,3,No,39 children missing; K9 search begins.
AUDIT0499,displaced_people_and_evacuations,rescue_volunteering_or_donation_effort,3,No,Florida assistance for Maria refugees.
AUDIT0500,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,3,No,Explicit statement that victims need help.
